Basketball Hoop Garden,,,,,,,,,,,,,,,,,,,
List URL,https://calscape.org/myplantlist/18729/ord-popular/page-all,,,,,,,,,,,,,,,,,,
List QR Code,//calscape.org/qrcode/https://calscape.org/myplantlist/18729/ord-popular/page-all,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous / Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant Url,QR Codes(change number to change image size in pixels)
15,Showy Penstemon,Penstemon spectabilis,Perennial herb,2 - 4 ft(0.6 - 1.2 m),3 - 4 ft (0.9 - 1.2 m),Moderate,Evergreen,"Blue,Pink,Purple","Winter,Spriung",Full Sun,Performs best and lives longest in well drained soil,Fast,Very Low,Moderately Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Penstemon-spectabilis-(),//calscape.org/qrcodes/Penstemon-spectabilis(192)
64,Cleveland Sage,Salvia clevelandii,Shrub,3 - 4.5 ft(0.9 - 1.4 m),8 ft (2.4 m),"Fast,Moderate",Evergreen,"Blue,Purple,Lavender","Spring,Summer","Part Shade,Full Sun","Tolerant of a variety of soils, although performs better in well drained soils",Medium,Very Low,"Very Easy,Moderately Easy",Never irrigate once established,"Bank Stabilization,Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Salvia-clevelandii-(),//calscape.org/qrcodes/Salvia-clevelandii(192)
110,Desert Globemallow,Sphaeralcea ambigua,Perennial herb,3 - 5 ft(0.9 - 1.5 m),2 - 4 ft (0.6 - 1.2 m),Fast,Evergreen,"Orange,Lavender,Red,Pink","Spring,Winter",Full Sun,"Adaptable, but prefers fast draining desert soil",Fast,"Extremely Low,Very Low",Very Easy,Max 1x / month once established,"Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Sphaeralcea-ambigua-(),//calscape.org/qrcodes/Sphaeralcea-ambigua(192)
122,Desertbells,Phacelia campanularia,Annual herb,1 - 2 ft(0.3 - 0.6 m),1 - 2,Fast,Evergreen,"Blue,Purple","Winter,Spring",Full Sun,Prefers sandy or decomposed granite soil,"Fast,Medium",Low,Moderately Easy,Max 1x / month once established,"Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Phacelia-campanularia-(),//calscape.org/qrcodes/Phacelia-campanularia(192)
137,Woollyleaf Ceanothus,Ceanothus tomentosus,Shrub,6 - 13.1 ft(1.8 - 4 m),6 - 20 ft (1.8 - 6.1 m),Fast,Evergreen,"Blue,Lavender,White","Winter,Spring","Part Shade,Full Sun","Prefers heavier or rockier soils on slopes, lighter soils on flats","Fast,Medium",Very Low,Moderately Easy,Max 1x / month once established,"Hedges,Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//calscape.org/Ceanothus-tomentosus-(),//calscape.org/qrcodes/Ceanothus-tomentosus(192)
153,Willowy Monardella,Monardella linoides,Perennial herb,1 - 2 ft(0.3 - 0.6 m),2 ft (0.6 m),Moderate,Evergreen,"Lavender,Pink,White",Summer,Full Sun,"Prefers rocky, gravelly soil",Medium,"Low,Very Low",,Max 3x / month once established,"Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//calscape.org/Monardella-linoides-(),//calscape.org/qrcodes/Monardella-linoides(192)
177,Western False Indigo,Amorpha fruticosa,Shrub,6 - 15 ft(1.8 - 4.6 m),,Moderate,Winter Deciduous,"Purple,Yellow","Spring,Winter","Part Shade,Full Sun",Tolerates a variety of soils,Slow,"Low,Moderate - High",Very Easy,Max 1x / month once established,"Hedges,Butterfly Gardens",Commonly Available,//calscape.org/Amorpha-fruticosa-(),//calscape.org/qrcodes/Amorpha-fruticosa(192)
225,Idaho Fescue,Festuca idahoensis,Grass,1 - 2.6 ft(0.3 - 0.8 m),.5 ft (0.2 m),Moderate,,"Yellow,Cream",Summer,Full Sun,"Adaptable, tolerant of sand, loam and clay","Fast,Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Festuca-idahoensis-(),//calscape.org/qrcodes/Festuca-idahoensis(192)
514,Monterey Ceanothus,Ceanothus rigidus,Shrub,4 - 6 ft(1.2 - 1.8 m),5 - 15 ft (1.5 - 4.6 m),Moderate,Evergreen,"Blue,Purple,White","Winter,Spring",Full Sun,Adaptable,"Fast,Medium,Slow",Very Low,"Very Easy,Moderately Easy",Max 1x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Ceanothus-rigidus-(),//calscape.org/qrcodes/Ceanothus-rigidus(192)
1739,Jepson Ceanothus,Ceanothus jepsonii,Shrub,1.6 ft(0.49 m),,,Evergreen,"Blue,White,Purple",,Full Sun,,,,,,"Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Never or Almost Never Available,//calscape.org/Ceanothus-jepsonii-(),//calscape.org/qrcodes/Ceanothus-jepsonii(192)
10089,Celestial Blue Sage,Salvia 'Celestial Blue',Shrub,4 - 5 ft (1.2 - 1.5 m),4 - 5 ft (1.2 - 1.5 m),Fast,"Evergreen,Summer semi-deciduous",Purple,"Spring,Summer",Full Sun,"sandy, coarse-grained or other fast draining soils",Fast,Low,,,Groundcovers,,//calscape.org/Salvia-'Celestial-Blue'-(),//calscape.org/qrcodes/Salvia-'Celestial-Blue'(192)
